runId,mode,seed,inflowRate,intelligenceCost,sensingNoise,maxAgents,lookDist,burnIn,measureTicks,maxTicks,tailTicks,survivedTicks,event,max_agentCount,sigmaProxyCumEnd,sigmaProxyDiffCumEnd,sigmaProxyActCumEnd,outflowPhysCum,outflowNumCum,outflowActCum,actHeatMaintCum,actHeatInfoCum,actHeatDivCum,totalUptakeCum,infoCostCum,maintenanceCostCum,divisionCostCum,efficiencyEnd,birthsCum,deathsCum,netCum,meanAbsEnergyResidual,measuredTicks,mean_agentCount_window,mean_sigmaProxyTotal_window,mean_uptake_window,mean_infoCost_window,mean_maintenance_window,mean_divisionCost_window,mean_efficiency_window,mean_births_window,mean_deaths_window,mean_net_window,tailTicksUsed,mean_uptake_tail,mean_infoCost_tail,mean_maintenance_tail,mean_divisionCost_tail,mean_efficiency_tail,mean_births_tail,mean_deaths_tail,mean_net_tail
35,random,1017,0.085,0.200000,0,1000,3,100,300,3000,30,1644,1,10,312.321730,8.081730,304.240000,0.000000,0.000000,304.240000,304.240000,0.000000,0.000000,4.128150,0.000000,304.240000,0.000000,0.013569,0.000000,10.000000,-10.000000,0.000068037875,300,10.000000,0.203786,0.000341,0.000000,0.200000,0.000000,0.001707,0.000000,0.000000,0.000000,30,0.000344,0.000000,0.020000,0.000000,0.017198,0.000000,0.033333,-0.033333
36,informed,1017,0.085,0.200000,0,1000,3,100,300,3000,30,1551,1,10,313.783635,1.187627,312.596008,0.000000,0.000000,312.596008,258.700000,53.896008,0.000000,12.483411,53.896008,258.700000,0.000000,0.039935,0.000000,10.000000,-10.000000,0.000072557582,300,10.000000,0.246013,0.006907,0.042588,0.200000,0.000000,0.028509,0.000000,0.000000,0.000000,30,0.008450,0.004012,0.020000,0.000000,0.351923,0.000000,0.033333,-0.033333
37,random,1018,0.085,0.200000,0,1000,3,100,300,3000,30,1978,1,10,318.679248,5.939248,312.740000,0.000000,0.000000,312.740000,312.740000,0.000000,0.000000,12.638582,0.000000,312.740000,0.000000,0.040412,0.000000,10.000000,-10.000000,0.000051272790,300,10.000000,0.203001,0.005558,0.000000,0.200000,0.000000,0.027790,0.000000,0.000000,0.000000,30,0.003055,0.000000,0.020000,0.000000,0.152727,0.000000,0.033333,-0.033333
38,informed,1018,0.085,0.200000,0,1000,3,100,300,3000,30,1357,1,10,314.258182,5.715854,308.542328,0.000000,0.000000,308.542328,252.740000,55.802328,0.000000,8.393779,55.802328,252.740000,0.000000,0.027205,0.000000,10.000000,-10.000000,0.000109422200,300,10.000000,0.249916,0.004547,0.046018,0.200000,0.000000,0.018505,0.000000,0.000000,0.000000,30,0.003503,0.004827,0.020000,0.000000,0.141098,0.000000,0.033333,-0.033333
39,random,1019,0.085,0.200000,0,1000,3,100,300,3000,30,1590,1,10,312.106689,8.066689,304.040000,0.000000,0.000000,304.040000,304.040000,0.000000,0.000000,3.916918,0.000000,304.040000,0.000000,0.012883,0.000000,10.000000,-10.000000,0.000077405789,300,10.000000,0.203793,0.000417,0.000000,0.200000,0.000000,0.002086,0.000000,0.000000,0.000000,30,0.001164,0.000000,0.020667,0.000000,0.057116,0.000000,0.066667,-0.066667
40,informed,1019,0.085,0.200000,0,1000,3,100,300,3000,30,1797,1,10,315.801927,1.185522,314.616405,0.000000,0.000000,314.616405,259.900000,54.716405,0.000000,14.494680,54.716405,259.900000,0.000000,0.046071,0.000000,10.000000,-10.000000,0.000067708132,300,10.000000,0.246179,0.005983,0.042788,0.200000,0.000000,0.024620,0.000000,0.000000,0.000000,30,0.008465,0.004015,0.020000,0.000000,0.352507,0.000000,0.033333,-0.033333
41,random,1020,0.085,0.200000,0,1000,3,100,300,3000,30,1682,1,10,313.869268,6.809268,307.060000,0.000000,0.000000,307.060000,307.060000,0.000000,0.000000,6.965102,0.000000,307.060000,0.000000,0.022683,0.000000,10.000000,-10.000000,0.000056423741,300,10.000000,0.203918,0.002836,0.000000,0.200000,0.000000,0.014182,0.000000,0.000000,0.000000,30,0.000876,0.000000,0.020000,0.000000,0.043824,0.000000,0.033333,-0.033333
42,informed,1020,0.085,0.200000,0,1000,3,100,300,3000,30,1788,1,10,315.761329,1.169744,314.591585,0.000000,0.000000,314.591585,259.380000,55.211585,0.000000,14.454047,55.211585,259.380000,0.000000,0.045945,0.000000,10.000000,-10.000000,0.000076887865,300,10.000000,0.246364,0.006397,0.043011,0.200000,0.000000,0.026271,0.000000,0.000000,0.000000,30,0.008467,0.004061,0.020000,0.000000,0.351898,0.000000,0.033333,-0.033333
43,random,1021,0.085,0.200000,0,1000,3,100,300,3000,30,1636,1,10,312.881279,8.241279,304.640000,0.000000,0.000000,304.640000,304.640000,0.000000,0.000000,4.532480,0.000000,304.640000,0.000000,0.014878,0.000000,10.000000,-10.000000,0.000065724452,300,10.000000,0.203700,0.001588,0.000000,0.200000,0.000000,0.007940,0.000000,0.000000,0.000000,30,0.002341,0.000000,0.020000,0.000000,0.117048,0.000000,0.033333,-0.033333
44,informed,1021,0.085,0.200000,0,1000,3,100,300,3000,30,1529,1,10,313.452468,1.660262,311.792206,0.000000,0.000000,311.792206,257.080000,54.712206,0.000000,11.670502,54.712206,257.080000,0.000000,0.037430,0.000000,10.000000,-10.000000,0.000079555905,300,10.000000,0.246559,0.006364,0.043229,0.200000,0.000000,0.026056,0.000000,0.000000,0.000000,30,0.008974,0.004023,0.020000,0.000000,0.373543,0.000000,0.033333,-0.033333
45,random,1022,0.085,0.200000,0,1000,3,100,300,3000,30,1774,1,10,316.894085,7.214085,309.680000,0.000000,0.000000,309.680000,309.680000,0.000000,0.000000,9.561133,0.000000,309.680000,0.000000,0.030874,0.000000,10.000000,-10.000000,0.000067001197,300,10.000000,0.203856,0.002649,0.000000,0.200000,0.000000,0.013246,0.000000,0.000000,0.000000,30,0.004372,0.000000,0.020000,0.000000,0.218578,0.000000,0.033333,-0.033333
46,informed,1022,0.085,0.200000,0,1000,3,100,300,3000,30,1585,1,10,314.027363,1.164578,312.862785,0.000000,0.000000,312.862785,257.660000,55.202785,0.000000,12.761994,55.202785,257.660000,0.000000,0.040791,0.000000,10.000000,-10.000000,0.000063560041,300,10.000000,0.248137,0.006471,0.044800,0.200000,0.000000,0.026529,0.000000,0.000000,0.000000,30,0.008458,0.004108,0.020000,0.000000,0.350821,0.000000,0.033333,-0.033333
47,random,1023,0.085,0.200000,0,1000,3,100,300,3000,30,1552,1,10,310.587968,7.727968,302.860000,0.000000,0.000000,302.860000,302.860000,0.000000,0.000000,2.788647,0.000000,302.860000,0.000000,0.009208,0.000000,10.000000,-10.000000,0.000045988912,300,10.000000,0.203810,0.001060,0.000000,0.200000,0.000000,0.005298,0.000000,0.000000,0.000000,30,0.002082,0.000000,0.030667,0.000000,0.070318,0.000000,0.066667,-0.066667
48,informed,1023,0.085,0.200000,0,1000,3,100,300,3000,30,1788,1,10,316.035303,1.209834,314.825469,0.000000,0.000000,314.825469,258.920000,55.905469,0.000000,14.699098,55.905469,258.920000,0.000000,0.046690,0.000000,10.000000,-10.000000,0.000070645077,300,10.000000,0.250196,0.006555,0.046714,0.200000,0.000000,0.026538,0.000000,0.000000,0.000000,30,0.008438,0.004025,0.020000,0.000000,0.351228,0.000000,0.033333,-0.033333
